,rsa_bin,cluster,accuracy,precision,recall,f1,mcc,n
0,buried,autoregressive_plm,0.7340184171893768,0.5995934959349594,0.4947589098532495,0.5421548357454629,0.3604098945720897,7493
1,buried,inverse_folding_mixed,0.7115812917594655,0.5432967032967033,0.5447333627148524,0.5440140845070423,0.3331031913483334,7184
2,buried,msa_based,0.7146670225543841,0.5601558694593278,0.48218029350104824,0.5182514646237044,0.31896497840861837,7493
3,buried,newer_plm,0.7392394483911409,0.5932872655478776,0.5342222222222223,0.5622076707202993,0.37830680754551826,7179
4,buried,structure_aware,0.7129320699319365,0.5508253692441355,0.5316561844863732,0.5410710475784084,0.3324214529234464,7493
5,exposed,autoregressive_plm,0.7199832513346592,0.7694814814814814,0.8227467131316332,0.7952231493531348,0.3561125556764304,9553
6,exposed,inverse_folding_mixed,0.6860008722197994,0.7631666114607486,0.7606470782436447,0.7619047619047619,0.30096450472731995,9172
7,exposed,msa_based,0.6989427405003664,0.7520903623294705,0.8121336923808016,0.780959634424981,0.3042459655176149,9553
8,exposed,newer_plm,0.7165225008211978,0.7758867504374105,0.8052162429844834,0.7902794653705953,0.35406547034781943,9133
9,exposed,structure_aware,0.6939181408981472,0.7595343850513095,0.7855219388563283,0.7723096090951566,0.3063207003472959,9553
