,secondary_structure,cluster,accuracy,precision,recall,f1,mcc,n
0,coil,autoregressive_plm,0.7415578568212516,0.7472732109603618,0.7844177604021223,0.7653950953678474,0.4787974607462765,6663
1,coil,inverse_folding_mixed,0.6984649122807017,0.7016279690419002,0.7651338766006985,0.7320061255742726,0.3907159222147739,6384
2,coil,msa_based,0.7112411826504578,0.7172829792814057,0.7637531415805641,0.7397890181228023,0.4171980647243623,6663
3,coil,newer_plm,0.7402230249725146,0.73764360138926,0.8042528400815613,0.7695094760312151,0.4755133219398277,6367
4,coil,structure_aware,0.6984841662914603,0.7092651757188498,0.7439262775760961,0.7261823633637726,0.39170964587164736,6663
5,helix,autoregressive_plm,0.6927064922823142,0.6962457337883959,0.646356324640507,0.6703741152679474,0.38425198550117523,8487
6,helix,inverse_folding_mixed,0.6877378176015712,0.6916176058312308,0.6307849654819739,0.6598020861192833,0.37371075198943265,8147
7,helix,msa_based,0.6838694473901261,0.6817716333845366,0.64903728978796,0.6650018728929954,0.36646676523446386,8487
8,helix,newer_plm,0.7022872602065913,0.7093776401013799,0.6445752302968271,0.6754256602761765,0.4032020567342204,8132
9,helix,structure_aware,0.6899964651820432,0.6848317428427926,0.6646356324640507,0.674582560296846,0.3788800154087448,8487
10,sheet,autoregressive_plm,0.8217299578059072,0.7939130434782609,0.9003944773175543,0.8438077634011091,0.6449660750672037,1896
11,sheet,inverse_folding_mixed,0.7353424657534247,0.7487487487487487,0.763265306122449,0.7559373420919656,0.46704975056102743,1825
12,sheet,msa_based,0.7853375527426161,0.7636837532580365,0.8668639053254438,0.8120092378752887,0.5703485473691972,1896
13,sheet,newer_plm,0.7870932156646442,0.7850834151128557,0.827300930713547,0.8056394763343404,0.5715870851649582,1813
14,sheet,structure_aware,0.7705696202531646,0.7648673376029277,0.8244575936883629,0.7935453251067869,0.5381126750491512,1896
