,cluster_a,cluster_b,n,observed_diff,mean_diff,ci_lower,ci_upper,p_value
0,newer_plm,structure_aware,41966,0.08019743980514366,0.08030842080536768,0.07191065389798558,0.08820990610635057,0.0
1,msa_based,structure_aware,43638,0.06763539671821256,0.06784106561707307,0.05798445433156354,0.07683256748611793,0.0
2,autoregressive_plm,structure_aware,43638,0.04878158872180455,0.0490239702554573,0.03870016192373577,0.05811812096086516,0.0
3,autoregressive_plm,inverse_folding_mixed,41938,0.033989502799690985,0.03403109132497492,0.02463062684915831,0.04418475979430212,0.0
4,inverse_folding_mixed,structure_aware,41938,0.00872357342154878,0.00887258933989823,0.001057881910828909,0.01644771864774924,0.014
5,msa_based,newer_plm,41966,-0.011771727890173167,-0.011886611958093528,-0.01893572477818578,-0.004731848120138621,0.0
6,autoregressive_plm,msa_based,43638,-0.018853807996408012,-0.018817095361615778,-0.02653282430752891,-0.011443115823104876,0.0
7,autoregressive_plm,newer_plm,41966,-0.03220005280754873,-0.03221775433357674,-0.03896856888835902,-0.025080527309432846,0.0
8,inverse_folding_mixed,msa_based,41938,-0.05270754789515136,-0.05266770702970159,-0.062328259274878686,-0.0436325937485447,0.0
9,inverse_folding_mixed,newer_plm,40371,-0.062450270165776645,-0.06257701052010303,-0.07001549571616025,-0.054777204063485664,0.0
