,model_a,model_b,kappa
4455,ProteinMPNN,xTrimoPGLM-3B-CLM,0.09849213230348575
4456,Unirep_evotune,ProteinMPNN,0.09785048969302557
4457,ProtGPT2,ProteinMPNN,0.09569639998743451
4458,CARP_600K,ProteinMPNN,0.09546724571131648
4459,ESM2_15B,ProteinMPNN,0.09519225602111925
4460,VESPAl,ProteinMPNN,0.09193818464994241
4461,ESM-IF1,xTrimoPGLM-7B-CLM,0.09005911513743803
4462,VESPAl,xTrimoPGLM-7B-CLM,0.07571379245118803
4463,ProteinMPNN,xTrimoPGLM-7B-CLM,0.07190979558442234
4464,VESPAl,CARP_600K,0.06865572352856608
