model,cluster_id,cluster_label
Site_Independent,cluster_3,msa_based
EVmutation,cluster_3,msa_based
DeepSequence_single,cluster_3,msa_based
DeepSequence_ensemble,cluster_3,msa_based
EVE_single,cluster_3,msa_based
EVE_ensemble,cluster_3,msa_based
Unirep,cluster_1,inverse_folding_mixed
Unirep_evotune,cluster_2,autoregressive_plm
MSA_Transformer_single,cluster_2,autoregressive_plm
MSA_Transformer_ensemble,cluster_2,autoregressive_plm
ESM1b,cluster_2,autoregressive_plm
ESM1v_single,cluster_2,autoregressive_plm
ESM1v_ensemble,cluster_2,autoregressive_plm
ESM2_8M,cluster_1,inverse_folding_mixed
ESM2_35M,cluster_1,inverse_folding_mixed
ESM2_150M,cluster_1,inverse_folding_mixed
ESM2_650M,cluster_0,structure_aware
ESM2_3B,cluster_2,autoregressive_plm
ESM2_15B,cluster_2,autoregressive_plm
Wavenet,cluster_2,autoregressive_plm
RITA_s,cluster_2,autoregressive_plm
RITA_m,cluster_2,autoregressive_plm
RITA_l,cluster_2,autoregressive_plm
RITA_xl,cluster_2,autoregressive_plm
Progen2_small,cluster_2,autoregressive_plm
Progen2_medium,cluster_2,autoregressive_plm
Progen2_base,cluster_2,autoregressive_plm
Progen2_large,cluster_2,autoregressive_plm
Progen2_xlarge,cluster_2,autoregressive_plm
GEMME,cluster_3,msa_based
VESPA,cluster_2,autoregressive_plm
VESPAl,cluster_2,autoregressive_plm
VespaG,cluster_2,autoregressive_plm
ProtGPT2,cluster_4,newer_plm
Tranception_S_no_retrieval,cluster_2,autoregressive_plm
Tranception_M_no_retrieval,cluster_2,autoregressive_plm
Tranception_L_no_retrieval,cluster_2,autoregressive_plm
Tranception_S,cluster_2,autoregressive_plm
Tranception_M,cluster_2,autoregressive_plm
Tranception_L,cluster_2,autoregressive_plm
TranceptEVE_S,cluster_3,msa_based
TranceptEVE_M,cluster_3,msa_based
TranceptEVE_L,cluster_3,msa_based
CARP_38M,cluster_4,newer_plm
CARP_600K,cluster_1,inverse_folding_mixed
CARP_640M,cluster_4,newer_plm
CARP_76M,cluster_4,newer_plm
MIF,cluster_1,inverse_folding_mixed
MIFST,cluster_4,newer_plm
ESM-IF1,cluster_1,inverse_folding_mixed
ProteinMPNN,cluster_1,inverse_folding_mixed
ProtSSN_k10_h512,cluster_0,structure_aware
ProtSSN_k10_h768,cluster_0,structure_aware
ProtSSN_k10_h1280,cluster_0,structure_aware
ProtSSN_k20_h512,cluster_0,structure_aware
ProtSSN_k20_h768,cluster_0,structure_aware
ProtSSN_k20_h1280,cluster_0,structure_aware
ProtSSN_k30_h512,cluster_0,structure_aware
ProtSSN_k30_h768,cluster_0,structure_aware
ProtSSN_k30_h1280,cluster_0,structure_aware
ProtSSN_ensemble,cluster_0,structure_aware
SaProt_650M_AF2,cluster_1,inverse_folding_mixed
SaProt_35M_AF2,cluster_1,inverse_folding_mixed
PoET,cluster_4,newer_plm
MULAN_small,cluster_1,inverse_folding_mixed
ProSST-20,cluster_1,inverse_folding_mixed
ProSST-128,cluster_1,inverse_folding_mixed
ProSST-512,cluster_1,inverse_folding_mixed
ProSST-1024,cluster_1,inverse_folding_mixed
ProSST-2048,cluster_1,inverse_folding_mixed
ProSST-4096,cluster_1,inverse_folding_mixed
ESCOTT,cluster_3,msa_based
VenusREM,cluster_1,inverse_folding_mixed
RSALOR,cluster_3,msa_based
S2F,cluster_0,structure_aware
S2F_MSA,cluster_3,msa_based
S3F,cluster_0,structure_aware
S3F_MSA,cluster_3,msa_based
SiteRM,cluster_3,msa_based
ESM3,cluster_1,inverse_folding_mixed
ESMC-300M,cluster_4,newer_plm
ESMC-600M,cluster_4,newer_plm
xTrimoPGLM-1B-MLM,cluster_2,autoregressive_plm
xTrimoPGLM-3B-MLM,cluster_2,autoregressive_plm
xTrimoPGLM-10B-MLM,cluster_2,autoregressive_plm
xTrimoPGLM-1B-CLM,cluster_2,autoregressive_plm
xTrimoPGLM-3B-CLM,cluster_2,autoregressive_plm
xTrimoPGLM-7B-CLM,cluster_1,inverse_folding_mixed
xTrimoPGLM-100B-int4,cluster_2,autoregressive_plm
Progen3_112m,cluster_4,newer_plm
Progen3_219m,cluster_4,newer_plm
Progen3_339m,cluster_4,newer_plm
Progen3_762m,cluster_4,newer_plm
Progen3_1b,cluster_4,newer_plm
Progen3_3b,cluster_4,newer_plm
