,model_a,model_b,kappa
0,S2F_MSA,S3F_MSA,0.8991704469276903
1,EVE_single,EVE_ensemble,0.8855584567821512
2,MSA_Transformer_single,MSA_Transformer_ensemble,0.8735047425092842
3,ProtSSN_k20_h768,ProtSSN_ensemble,0.8676382957850771
4,ProtSSN_k20_h512,ProtSSN_ensemble,0.8632384607419218
5,GEMME,ESCOTT,0.8625509859389953
6,EVE_ensemble,TranceptEVE_L,0.8583803095484378
7,ProtSSN_k30_h512,ProtSSN_ensemble,0.8568220346373203
8,DeepSequence_single,DeepSequence_ensemble,0.856592875959692
9,ProtSSN_k20_h1280,ProtSSN_ensemble,0.8554470861863342
