,Site_Independent,EVmutation,DeepSequence_single,DeepSequence_ensemble,EVE_single,EVE_ensemble,Unirep,Unirep_evotune,MSA_Transformer_single,MSA_Transformer_ensemble,ESM1b,ESM1v_single,ESM1v_ensemble,ESM2_8M,ESM2_35M,ESM2_150M,ESM2_650M,ESM2_3B,ESM2_15B,Wavenet,RITA_s,RITA_m,RITA_l,RITA_xl,Progen2_small,Progen2_medium,Progen2_base,Progen2_large,Progen2_xlarge,GEMME,VESPA,VESPAl,VespaG,ProtGPT2,Tranception_S_no_retrieval,Tranception_M_no_retrieval,Tranception_L_no_retrieval,Tranception_S,Tranception_M,Tranception_L,TranceptEVE_S,TranceptEVE_M,TranceptEVE_L,CARP_38M,CARP_600K,CARP_640M,CARP_76M,MIF,MIFST,ESM-IF1,ProteinMPNN,ProtSSN_k10_h512,ProtSSN_k10_h768,ProtSSN_k10_h1280,ProtSSN_k20_h512,ProtSSN_k20_h768,ProtSSN_k20_h1280,ProtSSN_k30_h512,ProtSSN_k30_h768,ProtSSN_k30_h1280,ProtSSN_ensemble,SaProt_650M_AF2,SaProt_35M_AF2,PoET,MULAN_small,ProSST-20,ProSST-128,ProSST-512,ProSST-1024,ProSST-2048,ProSST-4096,ESCOTT,VenusREM,RSALOR,S2F,S2F_MSA,S3F,S3F_MSA,SiteRM,ESM3,ESMC-300M,ESMC-600M,xTrimoPGLM-1B-MLM,xTrimoPGLM-3B-MLM,xTrimoPGLM-10B-MLM,xTrimoPGLM-1B-CLM,xTrimoPGLM-3B-CLM,xTrimoPGLM-7B-CLM,xTrimoPGLM-100B-int4,Progen3_112m,Progen3_219m,Progen3_339m,Progen3_762m,Progen3_1b,Progen3_3b
Site_Independent,1.0,0.7058985250985438,0.5411338654715989,0.5493377274885431,0.6019065876434586,0.6231266280014532,0.3269627219324156,0.3199046616701404,0.47472385790157556,0.4945231156789527,0.4650992187042394,0.4463082564618214,0.486731741090633,0.40982629074239496,0.40524312921985395,0.389935369734567,0.4279756103716573,0.4020349161540753,0.3889270741996079,0.4871900572428871,0.4127595141168212,0.3825106480680506,0.3980017340142392,0.39314358280034567,0.43585864819042786,0.39699343847928015,0.40001832508415724,0.3997433353928047,0.3978184075533375,0.6114853977341992,0.3877354522037473,0.32471695148121194,0.4362253011122311,0.3413080218295864,0.42843392652391143,0.3813190260721899,0.4094596378205917,0.6346761950382567,0.5816948478376827,0.6760163119715765,0.6336678995032976,0.6190017826311663,0.65071726036715,0.4945231156789527,0.3202713145919437,0.5059810194853052,0.5248636449581742,0.3309042493242389,0.40936797459014085,0.14757778842259872,0.11641229006931986,0.39571015325296865,0.3992850192405506,0.4116595553514114,0.4010266206191162,0.41129290242960803,0.4005683044668621,0.4248590605363295,0.39525183710071454,0.39158530788268175,0.4167010330262064,0.38397725975526364,0.39571015325296865,0.5611622842166989,0.31477152076489456,0.3248544761144847,0.3448370603527635,0.3348457682336241,0.3296209640979274,0.3981850604751408,0.31083000185550924,0.5987900377884915,0.4632659540952231,0.48297352909355196,0.4296255485197721,0.5983775557797318,0.4478665313794853,0.6096521331251827,0.650258944214896,0.34584531466544033,0.5444793236694171,0.5172553717176682,0.479582009115469,0.4396168406389115,0.47096566545309193,0.36839451057862427,0.3254961187276405,0.18231815276345953,0.3895687168127637,0.4505705932154942,0.45318299874563284,0.46033273072079683,0.4522663664411246,0.4641825863997313,0.4667491568523542
EVmutation,0.7058985250985438,1.0,0.6553920851201419,0.6698290453032187,0.7009487106541995,0.7233603716616086,0.27604380285802965,0.37687336201312616,0.5220679184372521,0.5519501314386821,0.508226770697326,0.5024519872031846,0.5535084063497996,0.32288371950440764,0.3297584617593379,0.32856683976848333,0.40492231041324145,0.42820477084993835,0.43801273646697214,0.4929190112763481,0.4376460835467092,0.42728813854928105,0.44232090828006176,0.4318713000525678,0.463403451195181,0.4483706814644003,0.4486456711545975,0.4419542553597988,0.43627113509572313,0.6386635470808684,0.4426875612003247,0.36252804776137126,0.45625371925005365,0.33053759640243563,0.4525871900474242,0.41564690833093254,0.44323754058071907,0.6088729973095042,0.5785324681577455,0.6520463786704659,0.6965947084824136,0.687061732555577,0.741234701524427,0.4146386128002094,0.23681194647268144,0.48210275012859116,0.46212016597426075,0.309225898224613,0.4135386540394206,0.15834822153641137,0.10756679207999365,0.3879646128510803,0.3881479393112117,0.3969476093975224,0.3927311008144986,0.4070305647047534,0.3937393963452216,0.4118887158982374,0.39163114205370975,0.3873229702406201,0.4087721660760023,0.38833126577134325,0.3424996507384752,0.556166640021706,0.3242586679553937,0.28566844809771885,0.31555066109914875,0.3044594102611947,0.3108758363657962,0.3822814925870046,0.2917182212820574,0.634492868577355,0.4360878086355917,0.5368256868028587,0.4101471145269884,0.6407718013723803,0.42224666089566554,0.6467299113266531,0.6207892172180498,0.3356248805726557,0.507126629723964,0.511434831864749,0.5434254510425687,0.5173930937038995,0.5560749767916402,0.4080388602354764,0.35102433113458864,0.18245565104369998,0.4763279666344499,0.4248590605363295,0.4458041110225597,0.47220312128149167,0.4700948669899798,0.4865942484018123,0.4875108807024696
DeepSequence_single,0.5411338654715989,0.6553920851201419,1.0,0.856592875959692,0.6514963956298481,0.6702415284531749,0.2466657310454965,0.3551950053937062,0.4916815555349773,0.5239470126536659,0.48297354864214936,0.4917732187654281,0.5438379336614939,0.28855583685596,0.29845546574464854,0.2794811770413288,0.3812273628417391,0.41367614642132944,0.43145881312878853,0.4568495279636656,0.4231174591577639,0.4010266206191162,0.4135844831908786,0.40826801582473105,0.44905815337534594,0.43045051759382946,0.4380585657212476,0.41330949349952617,0.42018423578333763,0.5897612121173548,0.42348411207956715,0.34304959838005245,0.44759154168813287,0.31866720376556024,0.4362253011122311,0.38489389205977187,0.4112012391991573,0.5484210951840349,0.5108391706991986,0.5677620368091579,0.6430175490092812,0.6286264218285025,0.6725331092144453,0.39131031819132933,0.19056784350403333,0.46949905376587886,0.423575775310018,0.2935973145307551,0.40551811891120637,0.1618772523729266,0.10330444811485262,0.35711993323317337,0.36619459304780455,0.3704111016485423,0.37224436625755875,0.39048534911727195,0.36335303290382914,0.3788441188500178,0.36142810506436196,0.35528666862415703,0.38076904668948497,0.3699527854962882,0.3180713970611241,0.5176222497525593,0.31275492969497654,0.25436545189780413,0.28525596055973046,0.2729730876793206,0.26848158938723043,0.36161143152526365,0.2578486546549352,0.6047481478053405,0.4053347924503048,0.5189971800227664,0.3923186137262883,0.591686139956822,0.414409452264936,0.6051606348330925,0.5680370265005104,0.30853837752101865,0.49644776427768245,0.505980789114663,0.5322883666246906,0.5035977754935839,0.5444795762746497,0.3997433353928047,0.3345707785422717,0.14308629013050855,0.4672074730046083,0.39428936936402825,0.422017500392354,0.442916716935141,0.4463999196922722,0.46014940425989515,0.46170767917755917
DeepSequence_ensemble,0.5493377274885431,0.6698290453032187,0.856592875959692,1.0,0.6794995147287076,0.6989779524641228,0.23855354144614493,0.37769833108371786,0.5040102621143021,0.5389339527693475,0.49264402158615084,0.5071268119365371,0.5633163719668334,0.27824372646239415,0.2895183037604797,0.2746688604898305,0.37604839294253456,0.4136303172694864,0.43627113509572313,0.46807827592853357,0.43654612478592036,0.41894678461329904,0.43150464713230485,0.4267381591688866,0.46221182920432646,0.45038727252584654,0.45368714880821304,0.4301296986813189,0.4376460835467092,0.5960401451003011,0.4461707639428226,0.3626197109941326,0.44204591858986453,0.3207296307441978,0.44699573301341433,0.4046473207230442,0.4228883035061257,0.5605664750648613,0.5303176091431684,0.5784408049276798,0.6608460487567765,0.6541546329619778,0.695403086491559,0.38750629670075154,0.179339101221465,0.4714698154409658,0.4203217330642851,0.2926348535827148,0.4105137674472513,0.17457261325804674,0.10518354809828445,0.3606489702914909,0.3662404273255008,0.370365272678459,0.3730235063503653,0.38915623484193484,0.3663320905555666,0.3789816163046381,0.36358219365359445,0.3566157881685985,0.3822814925870046,0.36614876409543506,0.3085842556141528,0.5270177328608019,0.30950088791481023,0.25587789832635455,0.28640175393824474,0.27806040000226273,0.2710939945172668,0.36275722458300286,0.2637609361120079,0.610018786046986,0.40996378806685696,0.5287593223537496,0.3887895819216719,0.6035565299656915,0.4110637468276458,0.6135478220428567,0.5761492241760364,0.3014344943217727,0.49062724221239884,0.5076766382637088,0.5492918977667758,0.5250928050294215,0.5633163719668334,0.4139053069596835,0.34451624179992135,0.1486319191494434,0.4831110456593143,0.39827672370559164,0.4302213619113846,0.45121224159643814,0.45451211787880463,0.47036985668017695,0.46542004225662725
EVE_single,0.6019065876434586,0.7009487106541995,0.6514963956298481,0.6794995147287076,1.0,0.8855584567821512,0.24034096806467753,0.39030202265637026,0.5506210127148545,0.5828864698335432,0.5239470126536659,0.5435629439701415,0.5907695076523138,0.26857325261768117,0.2812227784198944,0.28085612549809114,0.36161143152526365,0.4081763525942802,0.4370502701862885,0.4893899747737068,0.4572161808854689,0.44346669631784597,0.45620788535050993,0.4513497341366165,0.47985699880682153,0.46949905376587886,0.455657905967805,0.45730784411591974,0.44887482691444436,0.6177184974048548,0.4726156036012067,0.3838397377299725,0.4376919127994443,0.33342498396114006,0.4692240640745263,0.4344836997336655,0.43778357602989504,0.600302483619199,0.5662954251219448,0.6047023186808385,0.7438471025051834,0.7390806145217407,0.810761260734282,0.40093495738866536,0.1755350737100988,0.4997479198146495,0.4442000021614525,0.2987304554360011,0.4277006206803049,0.1709519121875579,0.1141207093080494,0.3582198919985833,0.35601997446776357,0.3760025587060424,0.3721527030271079,0.38351894360300964,0.3718777133357555,0.3775608336237063,0.37114440749214883,0.35702827000272264,0.3823273216071489,0.3539117201673947,0.2996470877405092,0.5742701261711662,0.29607222175292724,0.25381547251509917,0.2762729639755501,0.27654795366690255,0.28131444165034525,0.3595948404553455,0.2655483660128042,0.622530814624859,0.4502497753712066,0.5702369277821324,0.387368799281944,0.6707915078358797,0.3948851841789113,0.6692332329182158,0.6395343462521501,0.3116549275527394,0.5056140924058761,0.5152387797073745,0.5821531639899367,0.5420046690524776,0.5722535351012481,0.4288005794457147,0.35986983014669804,0.17361014587063162,0.4882900160082969,0.4221549915966759,0.44584994030956726,0.4697740434572313,0.47554882697563294,0.491314902613174,0.49204820845678054
EVE_ensemble,0.6231266280014532,0.7233603716616086,0.6702415284531749,0.6989779524641228,0.8855584567821512,1.0,0.24918647622310974,0.39997249598969165,0.5639580145772936,0.5966817877107613,0.5362757190974412,0.5617580970557159,0.6074063856284524,0.27567715602055354,0.2860351010179818,0.28832668176962517,0.371373568209182,0.4219716712054683,0.4548787707990676,0.506485169326077,0.4685365920788622,0.4573536780108425,0.46697831716774474,0.46202850274419505,0.4914523995952963,0.4832943721194458,0.4659700216370216,0.4690865714592567,0.45882028969189426,0.6401301587619201,0.48769420716260115,0.3962601174175385,0.4485540079245318,0.3393372665257143,0.48100279136780233,0.4483706814644003,0.4510289151363067,0.6181309835461435,0.5869654853237933,0.6262890110219941,0.772858515897106,0.7713002409859885,0.8583803095484378,0.409597135146594,0.1826389775038315,0.5116183102097582,0.4550620972591991,0.3040927573409318,0.4343462072643427,0.16980612529462846,0.114716524025121,0.36587377440523783,0.3606489702914909,0.38090654413601854,0.3781566472340465,0.3922727846641698,0.3781566472340465,0.3847563997987795,0.37916494276476964,0.3641321730339889,0.38933956130206626,0.35863237923004476,0.30546770579191784,0.5876987911643192,0.3018928398193541,0.2578028261577351,0.28805169207942793,0.2819102556650236,0.28401850995653555,0.36275722458300286,0.269627382836215,0.6421925799352238,0.45781199416117113,0.581190691272959,0.39493101833607624,0.692286536669324,0.40235573997140084,0.690544935298075,0.6608460487567765,0.3157339588127587,0.5204178029971694,0.5254593104247292,0.5997066743029306,0.5590998633838096,0.586323842713333,0.4378294100068407,0.36669874347582954,0.17237269573646907,0.49933543738094954,0.4268756516062475,0.45469544433893616,0.4825610662789199,0.48705256455214097,0.5038269356541707,0.5085017603875233
Unirep,0.3269627219324156,0.27604380285802965,0.2466657310454965,0.23855354144614493,0.24034096806467753,0.24918647622310974,1.0,0.18575552048466415,0.2611026962317773,0.2577111566908489,0.26944405023784457,0.2818185864006917,0.2813602702465121,0.6008066297096377,0.5923736124727346,0.5598331655259887,0.486869233780609,0.38668132247696585,0.30088453841455964,0.28301020840155844,0.27714376162806054,0.2369036032910986,0.2458865999130172,0.24047846929369887,0.2920848682543129,0.2472615483755558,0.2541362906882486,0.2458865999130172,0.25331132161072545,0.2920848682543129,0.1976717404933317,0.14464451114699883,0.3490077346034093,0.2610568584076498,0.3186672051967251,0.24698655868304809,0.23809522529196536,0.354049212299384,0.30610934257220623,0.32911681351201816,0.31426737011660166,0.29391813287103097,0.29025160363759483,0.4695448831526232,0.5693661415329228,0.3348915970546801,0.4433291991335546,0.27778540424391185,0.2920848682543129,0.17209769909011452,0.10316694950151462,0.3843897417060683,0.34919106106508113,0.3817315080118271,0.3710069100040263,0.3831064564743656,0.36807368661727735,0.40281405110408497,0.3747651024682983,0.37815664200922683,0.3940143809438382,0.41564690342111155,0.48182775608463435,0.3917228001729406,0.44525412698110856,0.40043080710235146,0.37806497877839096,0.38182317124266296,0.3479077758333785,0.3586323738411793,0.3320500368987671,0.2969888451972301,0.35157430506681464,0.2534029472034488,0.4150969240360961,0.36468214707634894,0.40253906141157725,0.35954900614953833,0.3054676999563549,0.34845770047484714,0.375406283266425,0.3333329076242495,0.26605251069691616,0.2452449572971659,0.26440257254186983,0.22242081281902581,0.23149547267178028,0.24423666175797099,0.2162793763530202,0.3882854238768779,0.3833814461668733,0.37806497877839096,0.3640405044604976,0.36119894430458455,0.32884182381951044
Unirep_evotune,0.3199046616701404,0.37687336201312616,0.3551950053937062,0.37769833108371786,0.39030202265637026,0.39997249598969165,0.18575552048466415,1.0,0.5038269356541707,0.5296759665327082,0.46945322437951964,0.5338008118856663,0.5484669286961841,0.2100462832934865,0.23928685368445635,0.2688940769956891,0.2952014240245554,0.3334249909619673,0.3615656025921483,0.5247261521091584,0.5619414235158473,0.6445299938050755,0.6199642481474583,0.5931985849682633,0.5411338702909252,0.6070397327081895,0.5931069217381976,0.6312388254455438,0.5728493478936699,0.4552454237193305,0.5581832310831522,0.4736238858680961,0.41738850970218155,0.2601402354162058,0.5251844682594872,0.6158394027945001,0.5748659389551161,0.493285664196611,0.5840322619616898,0.49676886693910893,0.48952747176391587,0.5283010180817223,0.4709198360605714,0.3639488465738574,0.11169163743295174,0.4310463309819762,0.38750629670075154,0.24991978837208173,0.38319812488766203,0.16448965795081572,0.09785048969302557,0.3302167779096665,0.3198588329122384,0.33626655109400516,0.33800815246525406,0.32123378136322445,0.3315917263606526,0.337366509854794,0.33140839990052107,0.33626655109400516,0.3457995270208417,0.3198588329122384,0.26339428319174496,0.4375544203166435,0.26486089487279674,0.27494385018002765,0.3232503724246706,0.32132544459329015,0.32618359578677414,0.34616617994110466,0.33205004251098125,0.43934185094755906,0.36092395998168814,0.33351663739235815,0.3232503724246706,0.4085888396158709,0.32050047552269856,0.40583894271389875,0.42068838598454805,0.32040878374250403,0.34460766273504617,0.4235297669038287,0.4617535130539978,0.5228928875078438,0.5063018428659456,0.5717493891328811,0.4510289151363067,0.15037352052069242,0.4002474856798889,0.399651672162354,0.44387918319117925,0.4667949907076133,0.46706998039781045,0.47696960924490994,0.43737109385651196
MSA_Transformer_single,0.47472385790157556,0.5220679184372521,0.4916815555349773,0.5040102621143021,0.5506210127148545,0.5639580145772936,0.2611026962317773,0.5038269356541707,1.0,0.8735047425092842,0.6011732859839823,0.6271139800925857,0.6686374233123641,0.27916035876305156,0.29080158898140007,0.314084049418097,0.37485677095168,0.4293047296107272,0.4641367570357069,0.6062147636375979,0.5653329630282795,0.5898070454558311,0.6074980488585182,0.6039231828859544,0.575599244795642,0.603739856425823,0.5931069217381976,0.5906320145264228,0.5907236777564884,0.5882487705447136,0.6091479869997014,0.4936064706100648,0.5302259459131027,0.3322791977810011,0.5550666812609171,0.5843072516518869,0.6040148461160202,0.5944818701891836,0.6329804268167928,0.6159310660245658,0.6179476570860121,0.6428800556638923,0.6261973477919283,0.4117970526681717,0.18208899812343704,0.5295843033026425,0.47440303880306933,0.30647600132264086,0.45212887389709555,0.15578165109457076,0.11535816663558118,0.3732068328104967,0.37513176064187725,0.3864980011700285,0.3840230939582536,0.3895228877621978,0.3789816163046381,0.3953893344864049,0.3789816163046381,0.3789816163046381,0.3980475681583112,0.3582657263097818,0.318575547691318,0.5611164544452557,0.31151747897625637,0.2983179738467904,0.3274668810076945,0.3257252796364455,0.3275585442377602,0.3771483517033234,0.3168339463200691,0.5774783392369449,0.4260048533283607,0.4504789219044405,0.41234703204856604,0.5459920214844092,0.41665520386165567,0.547825286085724,0.567624543779923,0.34176631724506623,0.5122597725053399,0.5650578381234961,0.6298638769945577,0.677345430168609,0.6404051484521174,0.5649663101080167,0.484944310260629,0.18282230396396293,0.5126266057404814,0.4227508062359606,0.4714698154409658,0.4909024202149018,0.49191071574562495,0.5107933411391665,0.5008937122920671
MSA_Transformer_ensemble,0.4945231156789527,0.5519501314386821,0.5239470126536659,0.5389339527693475,0.5828864698335432,0.5966817877107613,0.2577111566908489,0.5296759665327082,0.8735047425092842,1.0,0.6248223993409423,0.6686374233123641,0.7184105572380588,0.291168241901663,0.3098675408350732,0.3297584617593379,0.4029057193517952,0.46111187044353763,0.5013520284423958,0.638480220620737,0.5953068392597752,0.6251890522612051,0.6365552927893565,0.6368302824795538,0.6055731210271377,0.6357303237187648,0.622164165669036,0.6241807567304821,0.6162060557147631,0.6194142687670638,0.6369219457096194,0.5167056052659185,0.5634996984269649,0.348686916031698,0.5876987911643192,0.6109812516010161,0.6180393203160778,0.6328887635867271,0.6652458837999319,0.6400384955318544,0.658921120925396,0.6851368047241966,0.6621293339776968,0.4303130251414503,0.17998074383192508,0.552316784358945,0.49695219339924046,0.32141710782335586,0.4716531419010973,0.16696456516259062,0.12562444840294362,0.3969476093975224,0.40006415921975746,0.40895549253613384,0.4088638293060681,0.41482193926034094,0.4037306884223869,0.41720518324205,0.40492231041324145,0.4044639942629128,0.4234382828865201,0.3847563997987795,0.33608322463387363,0.6052981313369405,0.3376414995449911,0.30794261300369263,0.33965809060643737,0.3325083586613099,0.33864979507571424,0.39236444789423564,0.32361702534493353,0.6115770609646499,0.445345794872231,0.4794445033353324,0.439112695227761,0.5805490592191918,0.43984600106828686,0.5819240076701777,0.6059397739474006,0.3578073831804671,0.5324256905750309,0.5909068770379691,0.6656125367201948,0.7102525297622082,0.6814702755215671,0.5918236365172773,0.5019020078227903,0.18300563042409446,0.5488335816164471,0.46143268948620664,0.5017186813626587,0.5161098084829793,0.5189513686150171,0.5404005644503993,0.5189513686150171
