,cluster,dms_id,accuracy,precision,recall,f1,mcc,n
0,autoregressive_plm,ALL,0.6863055135432421,0.6817618150920866,0.6870949824106647,0.6844180095442285,0.37260917092672574,43638
1,inverse_folding_mixed,ALL,0.6707997520148791,0.6662997702909648,0.6707939872807863,0.6685393258426966,0.34158383413669946,41938
2,msa_based,ALL,0.6957468261606856,0.6919105784743028,0.6948250324014071,0.6933647428347075,0.39146297892313375,43638
3,newer_plm,ALL,0.7074298241433541,0.7013898771405531,0.7119264288121719,0.7066188769414576,0.4149333862384094,41966
4,structure_aware,ALL,0.6619001787432971,0.6567936275407434,0.6640899833364192,0.6604216534708157,0.3238275822049212,43638
5,autoregressive_plm,A0A192B1T2_9HIV1_Haddox_2018,0.709867217937505,0.6583658854166666,0.7229669347631814,0.6891558054348752,0.4198715561152807,12577
6,inverse_folding_mixed,A0A192B1T2_9HIV1_Haddox_2018,0.6386342612059541,0.5863628457122978,0.6372400756143667,0.6107437267868466,0.27545349394611457,11891
7,msa_based,A0A192B1T2_9HIV1_Haddox_2018,0.7069253399061779,0.6543748989163837,0.7231456657730116,0.6870436406860247,0.4145873128801162,12577
8,newer_plm,A0A192B1T2_9HIV1_Haddox_2018,0.7124053965120105,0.6662671232876712,0.7155204119161457,0.6900159602766448,0.4233640710282958,12156
9,structure_aware,A0A192B1T2_9HIV1_Haddox_2018,0.600302138824839,0.5455274126322539,0.6082216264521895,0.5751711315811713,0.20095080790138295,12577
10,autoregressive_plm,A4_HUMAN_Seuma_2022,0.6264263047734792,0.655551144634114,0.6283612379502791,0.6416682857327893,0.2521102292896313,14811
11,inverse_folding_mixed,A4_HUMAN_Seuma_2022,0.6708405396056728,0.7009730026038098,0.6650630607203225,0.6825460368294636,0.34178371628217974,14455
12,msa_based,A4_HUMAN_Seuma_2022,0.6799675916548511,0.7140522875816994,0.665144596651446,0.6887312844759653,0.36123908427361934,14811
13,newer_plm,A4_HUMAN_Seuma_2022,0.6819488257974062,0.707643921783126,0.6832585159757064,0.6952374554980856,0.3631436273743857,14265
14,structure_aware,A4_HUMAN_Seuma_2022,0.6751738572682465,0.706213931015971,0.667427701674277,0.686273231170525,0.35069015450837493,14811
15,autoregressive_plm,ACE2_HUMAN_Chan_2020,0.5582546108861899,0.559228650137741,0.5481548154815482,0.5536363636363636,0.11652400422872511,2223
16,inverse_folding_mixed,ACE2_HUMAN_Chan_2020,0.6140350877192983,0.6148713060057197,0.6113744075829384,0.6131178707224335,0.22807577646853977,2109
17,msa_based,ACE2_HUMAN_Chan_2020,0.5524066576698156,0.5524412296564195,0.54995499549955,0.5511953089760938,0.10481238319494103,2223
18,newer_plm,ACE2_HUMAN_Chan_2020,0.5792741165234002,0.5803310613437196,0.5697896749521989,0.5750120598166908,0.15855899190466222,2094
19,structure_aware,ACE2_HUMAN_Chan_2020,0.5847953216374269,0.5846846846846847,0.5841584158415841,0.5844214317874831,0.1695902077898876,2223
20,autoregressive_plm,ADRB2_HUMAN_Jones_2020,0.723974358974359,0.7230022976767935,0.7261538461538461,0.7245746450044774,0.44795297366943937,7800
21,inverse_folding_mixed,ADRB2_HUMAN_Jones_2020,0.714323537198835,0.7113510666315512,0.7177783683231465,0.7145502645502646,0.4286756565684079,7554
22,msa_based,ADRB2_HUMAN_Jones_2020,0.7147435897435898,0.7125095153514337,0.72,0.7162351740849382,0.4295109147862533,7800
23,newer_plm,ADRB2_HUMAN_Jones_2020,0.7316369359916055,0.7265907915157785,0.7395997893628226,0.7330375782881002,0.46337551721285825,7624
24,structure_aware,ADRB2_HUMAN_Jones_2020,0.71,0.7082909460834181,0.7141025641025641,0.7111848825331971,0.420014138780976,7800
25,autoregressive_plm,AMIE_PSEAE_Wrenbeck_2017,0.7796691825919383,0.7840834964122635,0.7719974309569685,0.7779935275080906,0.559405927016932,6227
26,inverse_folding_mixed,AMIE_PSEAE_Wrenbeck_2017,0.6999494012481026,0.6960719041278296,0.7071356104159622,0.7015601409159536,0.3999692985941463,5929
27,msa_based,AMIE_PSEAE_Wrenbeck_2017,0.7380761201220492,0.737584107657802,0.7392421323057161,0.7384121892542101,0.4761532410142813,6227
28,newer_plm,AMIE_PSEAE_Wrenbeck_2017,0.7738115668440021,0.7627677100494233,0.7947133539306557,0.7784129119031608,0.5481071101982486,5827
29,structure_aware,AMIE_PSEAE_Wrenbeck_2017,0.7220170226433275,0.7221329906842274,0.7219010918432883,0.7220170226433275,0.4440340825275158,6227
