,accuracy,precision,recall,f1,mcc,n,cluster_label
ESCOTT,0.7041110958339062,0.6992115878254492,0.7060729494538048,0.7026255181943805,0.4082406606979928,43638,msa_based
S3F_MSA,0.7000091663229295,0.6951001512581931,0.7019533419737086,0.6985099375878031,0.4000368528197619,43638,msa_based
RSALOR,0.6947843622530822,0.6899271010040805,0.6965376782077393,0.6932166301969366,0.3895840520106505,43638,msa_based
GEMME,0.6946926990237866,0.6897831965898152,0.6965839659322348,0.6931669008083646,0.3894034019244914,43638,msa_based
PoET,0.6943718777212521,0.6894623458770683,0.6962599518607665,0.6928444761751227,0.3887617281635699,43638,newer_plm
S2F_MSA,0.6929510976671708,0.6880414355777604,0.6948250324014071,0.6914165956564796,0.385920030079489,43638,msa_based
VenusREM,0.6912094963105551,0.6862996745657056,0.6930660988705796,0.6896662905045946,0.3824366582344866,43638,inverse_folding_mixed
TranceptEVE_S,0.6896512214125303,0.6847412568180776,0.6914923162377338,0.6881002280002764,0.37931995711001076,43638,msa_based
Tranception_S,0.688230441358449,0.6833203465187697,0.6900573967783744,0.6866723474816333,0.37647825902592985,43638,autoregressive_plm
ESM1v_ensemble,0.6878637884412668,0.6829536599899161,0.6896870949824107,0.6863038621864996,0.3757449175848767,43638,autoregressive_plm
SiteRM,0.6874513039094368,0.6825411376449557,0.6892705054619515,0.6858893162294742,0.37491990846369194,43638,msa_based
ESMC-300M,0.6862138503139465,0.6820378296286069,0.6859840770227735,0.6840052615789353,0.37240830360361044,43638,newer_plm
ESMC-600M,0.6851597231770475,0.6808628064204572,0.6852434734308461,0.6830461162248829,0.370305348145482,43638,newer_plm
Tranception_L,0.6842430908840919,0.6793326305174864,0.686030364747269,0.6826650698970544,0.368503170854477,43638,autoregressive_plm
TranceptEVE_L,0.6813098675466337,0.6763991382866572,0.6830679503795594,0.6797171875359849,0.3626364393260519,43638,msa_based
CARP_640M,0.6801182455657913,0.6752074070678828,0.6818644695426773,0.6785196103268004,0.36025307964262915,43638,newer_plm
TranceptEVE_M,0.67869746551171,0.6737864967685749,0.680429550083318,0.6770917298081573,0.35741138155854824,43638,msa_based
MSA_Transformer_ensemble,0.6785599706677666,0.6736489893202549,0.6802906869098315,0.6769535478224822,0.35713637851815333,43638,autoregressive_plm
S3F,0.6780099912919932,0.6730989595269744,0.679735234215886,0.6764008198797816,0.3560363663565736,43638,structure_aware
Tranception_S_no_retrieval,0.6772308538429809,0.6723197506531604,0.678948342899463,0.6756177886276226,0.3544780157943357,43638,autoregressive_plm
xTrimoPGLM-1B-MLM,0.6769558641550942,0.6720447357565201,0.6786706165524903,0.6753414246562723,0.3539280097135458,43638,autoregressive_plm
ProSST-2048,0.6766350428525597,0.6717238850437732,0.6783466024810221,0.6750190000230303,0.3532863359526243,43638,inverse_folding_mixed
VespaG,0.6756267473303085,0.6707154970894257,0.6773282725421218,0.6740056654614127,0.35126964698972823,43638,autoregressive_plm
xTrimoPGLM-3B-MLM,0.6755809157156607,0.670669661273319,0.6772819848176264,0.673959604799521,0.35117797930959654,43638,autoregressive_plm
Progen3_339m,0.675489252486365,0.6705779896411056,0.6771894093686355,0.6738674834757375,0.3509946439493333,43638,newer_plm
xTrimoPGLM-10B-MLM,0.6750767679545351,0.6701654672961452,0.6767728198481763,0.6734529375187122,0.3501696348281485,43638,autoregressive_plm
DeepSequence_ensemble,0.6738393143590449,0.6689279002612641,0.6755230512867988,0.672209299647636,0.3476946074645942,43638,msa_based
Progen2_small,0.6737934827443971,0.6688820644451574,0.6754767635623032,0.6721632389857443,0.3476029397844625,43638,autoregressive_plm
Progen3_219m,0.6736559879004538,0.6687445569968373,0.6753379003888169,0.6720250570000691,0.3473279367440676,43638,newer_plm
DeepSequence_single,0.6735872404784821,0.6686835350201686,0.6752453249398259,0.6719484108705666,0.347189985409721,43638,msa_based
