,model,dms_id,accuracy,precision,recall,f1,mcc,n
0,Site_Independent,A0A192B1T2_9HIV1_Haddox_2018,0.6785401924147253,0.6234096692111959,0.7006255585344057,0.6597660523436842,0.359262947343596,12577
1,EVmutation,A0A192B1T2_9HIV1_Haddox_2018,0.6651824759481594,0.6100508905852418,0.6856121537086685,0.645628208364891,0.3323835631120264,12577
2,DeepSequence_single,A0A192B1T2_9HIV1_Haddox_2018,0.6577085155442475,0.6025763358778626,0.6772117962466488,0.6377177480434234,0.3173439076491243,12577
3,DeepSequence_ensemble,A0A192B1T2_9HIV1_Haddox_2018,0.6675677824600461,0.6124363867684478,0.6882931188561215,0.6481528233611041,0.33718345315337805,12577
4,EVE_single,A0A192B1T2_9HIV1_Haddox_2018,0.6925339906177944,0.6374045801526718,0.7163538873994638,0.6745771269881343,0.3874223022528594,12577
5,EVE_ensemble,A0A192B1T2_9HIV1_Haddox_2018,0.6992128488510774,0.6440839694656488,0.7238605898123325,0.6816460489775309,0.40086199436864417,12577
6,Unirep,A0A192B1T2_9HIV1_Haddox_2018,0.504094776178739,0.4489341393573019,0.50437890974084,0.4750441881996465,0.008195700601499743,12577
7,Unirep_evotune,A0A192B1T2_9HIV1_Haddox_2018,0.6934881132225491,0.6383587786259542,0.717426273458445,0.6755869729866195,0.38934225826940005,12577
8,MSA_Transformer_single,A0A192B1T2_9HIV1_Haddox_2018,0.7019161962312157,0.6467875318066157,0.7268990169794459,0.6845072793065724,0.4063018697488428,12577
9,MSA_Transformer_ensemble,A0A192B1T2_9HIV1_Haddox_2018,0.703188359704222,0.648059796437659,0.7283288650580876,0.6858537406378861,0.40886181110423037,12577
10,ESM1b,A0A192B1T2_9HIV1_Haddox_2018,0.6769499880734674,0.6218193384223919,0.6988382484361036,0.6580829756795422,0.3560630206493615,12577
11,ESM1v_single,A0A192B1T2_9HIV1_Haddox_2018,0.6944422358273038,0.6393129770992366,0.7184986595174263,0.6765968189851048,0.39126221428594077,12577
12,ESM1v_ensemble,A0A192B1T2_9HIV1_Haddox_2018,0.6993718692852031,0.6442430025445293,0.7240393208221626,0.6818143566439452,0.4011819870380676,12577
13,ESM2_8M,A0A192B1T2_9HIV1_Haddox_2018,0.510773634412022,0.4556297709923664,0.5120643431635389,0.4822014642766978,0.021670681101858515,12577
14,ESM2_35M,A0A192B1T2_9HIV1_Haddox_2018,0.5106146139778962,0.455470737913486,0.5118856121537086,0.4820331566102836,0.02135068843243507,12577
15,ESM2_150M,A0A192B1T2_9HIV1_Haddox_2018,0.5201558400254432,0.46501272264631044,0.522609472743521,0.49213161659513593,0.04055024859784194,12577
16,ESM2_650M,A0A192B1T2_9HIV1_Haddox_2018,0.5376480877792796,0.4825063613231552,0.5422698838248436,0.5106454599006984,0.0757494422344212,12577
17,ESM2_3B,A0A192B1T2_9HIV1_Haddox_2018,0.5433728234078079,0.48823155216284986,0.548704200178731,0.5167045358916099,0.08726917833366532,12577
18,ESM2_15B,A0A192B1T2_9HIV1_Haddox_2018,0.5498926612069651,0.49475190839694655,0.5560321715817694,0.5236051502145923,0.10038887778002668,12577
19,Wavenet,A0A192B1T2_9HIV1_Haddox_2018,0.6785401924147253,0.6234096692111959,0.7006255585344057,0.6597660523436842,0.359262947343596,12577
20,RITA_s,A0A192B1T2_9HIV1_Haddox_2018,0.6918979088812912,0.6367684478371501,0.715638963360143,0.6739038963224775,0.3861423315751656,12577
21,RITA_m,A0A192B1T2_9HIV1_Haddox_2018,0.6974636240756937,0.6423346055979644,0.7218945487042002,0.6797946646469747,0.39734207500498625,12577
22,RITA_l,A0A192B1T2_9HIV1_Haddox_2018,0.6974636240756937,0.6423346055979644,0.7218945487042002,0.6797946646469747,0.39734207500498625,12577
23,RITA_xl,A0A192B1T2_9HIV1_Haddox_2018,0.6957143993003101,0.6405852417302799,0.719928507596068,0.6779432803164184,0.39382215564132833,12577
24,Progen2_small,A0A192B1T2_9HIV1_Haddox_2018,0.695078317563807,0.6399491094147582,0.7192135835567471,0.6772700496507615,0.3925421849636345,12577
25,Progen2_medium,A0A192B1T2_9HIV1_Haddox_2018,0.6931700723542975,0.6380407124681934,0.7170688114387846,0.6752503576537912,0.38870227293055315,12577
26,Progen2_base,A0A192B1T2_9HIV1_Haddox_2018,0.681720601097241,0.6265903307888041,0.7042001787310098,0.6631322056719684,0.3656628007320649,12577
27,Progen2_large,A0A192B1T2_9HIV1_Haddox_2018,0.6911028067106623,0.6359732824427481,0.7147453083109919,0.6730623579904065,0.3845423682280483,12577
28,Progen2_xlarge,A0A192B1T2_9HIV1_Haddox_2018,0.6915798680130397,0.6364503816793893,0.7152815013404826,0.6735672809896491,0.3855023462363187,12577
29,GEMME,A0A192B1T2_9HIV1_Haddox_2018,0.6896716228035302,0.6345419847328244,0.7131367292225201,0.6715475889926786,0.3816624342032373,12577
30,VESPA,A0A192B1T2_9HIV1_Haddox_2018,0.7163870557366622,0.6612595419847328,0.7431635388739947,0.6998232769502651,0.43542120266637657,12577
31,VESPAl,A0A192B1T2_9HIV1_Haddox_2018,0.7074024012085554,0.6522983935104183,0.7329758713136729,0.690287830331594,0.4173239828938714,12577
32,VespaG,A0A192B1T2_9HIV1_Haddox_2018,0.6177943865786754,0.5626590330788804,0.6323503127792672,0.5954725237734578,0.2370257476238389,12577
33,ProtGPT2,A0A192B1T2_9HIV1_Haddox_2018,0.6273356126262225,0.5722010178117048,0.6430741733690796,0.6055709837583102,0.2562253077892458,12577
34,Tranception_S_no_retrieval,A0A192B1T2_9HIV1_Haddox_2018,0.6912618271447881,0.6361323155216285,0.7149240393208222,0.6732306656568207,0.3848623608974718,12577
35,Tranception_M_no_retrieval,A0A192B1T2_9HIV1_Haddox_2018,0.6907847658424108,0.6356552162849872,0.7143878462913316,0.672725742657578,0.3839023828892015,12577
36,Tranception_L_no_retrieval,A0A192B1T2_9HIV1_Haddox_2018,0.6990538284169516,0.6439249363867684,0.7236818588025022,0.6814777413111167,0.4005420016992207,12577
37,Tranception_S,A0A192B1T2_9HIV1_Haddox_2018,0.6953963584320585,0.6402671755725191,0.7195710455764075,0.67760666498359,0.3931821703024814,12577
